B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B15,B16,B17,B18,B19,B21,B22,B23,B24,B25,B26,B27,B28,B32,B33,B34,B35,B36,B37,B38,B39,B40,B41,B42,B43,B44,B45
 disponible, depositar plazo, valorar negociable, deudor por venta, documento por cobrar, deudor vario, documento contar segundo por cobrar empresa relacionar, existencia, impuesto por recuperar, gasto pagar por anticipar, impuesto diferir, otro activo circulante, anticipar concesión, interesar diferir, cheque devolver, doc protestar, cliente incobrable, terreno bien, construcción obrar, maquinaria equipo, bien agrícola animal, bien agrícola plantación, otro activo fijo, mayor valor retasación, depreciación acumular menos, inversión empresa relacionar, inversión en otro sociedad, menor valor de inversión, mayor valor de inversión, deudor largar plazo, documento contar segundo por cobrar empresa relacionar, intangible, amortización, otro, activo en leasing, activo en leasing, boleta de garantia, ajustar vpp super red, garantia bidon de gas
 fondo fijar metro, depositos plazo na, fondo mutuo, cliente, cheque por cobrar, deudor apoderar, contar corriente por, existencia de vehiculos usar, ppm, seguro general an, interesar diferir leasing, goodwill cadina socio klaukol segundo, anticipo de comisionar,,,,, terreno plantar, instalación casar matriz, herramienta,,, contrato forward,, depreciación acumular activar fijar, inversión en pompeyo automotriz,,,,,, software, amortización del ejercicio, garantia de arriendo,,,,,
 fondo fijar salvador, fondo mutuo,, venta tarjeta credito metro, letra por cobrar, asignación familiar pagar por recuperar, contar corriente apo, existencia de repuesto, iva cf, patente anticipar, iva diferir leasing, goodwill cadina socio wouter ir dam, anticipar cliente,,,,,, edificio construcción plantar, mueble utiles casar matriz,,, garantia de arriendo,, depreciación acumular mueble utiles colegiar,,,,,,, marcar comercial,,,,,,,
 fondo fijar bavaria,,, cliente, cuenta por cobrar pompeyo cia, anticipo de soldar,, mercaderias en bodega, remanente iva cf, fletar collect usd,, goodwill cadina contar particular,,,,,,, fabricar, mueble equipo de oficina,,, inversión plantar,, depreciación acumular mueble utiles equipo informático,,,,,,, patente comercial,,,,,,,
 banco scotiabank,,, cliente en analisis, cuenta por cobrar rentar, anticipo mat profesor,, import tránsito, iva credito fiscal, garantias por arrendar,, goodwill cadina contar particular j2,,,,,,, bodega, mueble equipo de venta,,, inversión en cursar,,,,,,,,,,,,,,,,
 banco credito inversión,,, vario deudor, cuenta por cobrar distribuidor automotriz, contar corriente del personal,, mercaderia en tránsito, iva credito fiscal, arriendo anticipar,, goodwill cadina contar particular,,,,,,, instalación, mueble util instalación colegiar,,, construccion laboratorio,,,,,,,,,,,,,,,,
 banco de chile,,, deudor dudoso recuperación, cheque en cartero, anticipar emplear,, mercadería en consignación, imponer lo harina, gasto anticipar,,,,,,,,, instalación, mueble util equipo informático,,,,,,,,,,,,,,,,,,,
 banco santiago,,, cliente extranjero, cheque protestar, anticipar proveedor,, materia primo, remanente imponer harina,,,,,,,,,,, vehiculos,,,,,,,,,,,,,,,,,,,
 banco bbva,,, cliente, letra por cobrar, anticipar de honorario,, producto terminar nacional, imponer lo carne,,,,,,,,,,, maquinaria,,,,,,,,,,,,,,,,,,,
 banco itau,,, cliente nacional, letra protestar, prestar emplear,, mercaderias en transitar, remanente reajustar carne,,,,,,,,,,, equipo de laboratorio,,,,,,,,,,,,,,,,,,,
 caja,,, cliente extranjero, documento factoring monex, fondo cesantia,, envase, ila credito fiscal,,,,,,,,,,, maquinaria cadina,,,,,,,,,,,,,,,,,,,
 caja monedar nacional casar matriz,,, otro deudor klaukol, excedente liberar factoring, anticipar proveedor,, pallets, capacitacion sence,,,,,,,,,,, mueble utiles,,,,,,,,,,,,,,,,,,,
 fondo fijo,,, otro deudor presec, documento en garantir, anticipar proveedor,, producto en procesar, iva crédito fiscal,,,,,,,,,,, computador equipo,,,,,,,,,,,,,,,,,,,
 valorar rendir,,, cliente nacional, documento factoring santander, anticipar agente,, existencia de lubricante, pago provisional mensual,,,,,,,,,,, herramienta cadina,,,,,,,,,,,,,,,,,,,
 efectivo pagar venta,,, cliente emplear, documento factoring boston, deudor vario,, existencia de baterias,,,,,,,,,,,, mobiliario cadina,,,,,,,,,,,,,,,,,,,
 fondo fijar venta bodega,,, cliente provisionad, documento factoring ripley, reclamo al seguro,, existencia de neumático,,,,,,,,,,,, computacion cadina,,,,,,,,,,,,,,,,,,,
 banco,,,, documento factoring celfin, operación pendient,, existencia de amortiguador,,,,,,,,,,,, vehiculos cadina,,,,,,,,,,,,,,,,,,,
 banco bice,,,, documento factoring banchile, sodexo smart secur,, existencia de cámara,,,,,,,,,,,, camioneta de servicio,,,,,,,,,,,,,,,,,,,
 banco international,,,, documento factoring corpbanca, accor smart securi,, existencia de recauchado,,,,,,,,,,,, máquina útil de oficina,,,,,,,,,,,,,,,,,,,
 banco security,,,, anticipar de proveedor, anticipo de remuneración,, existencia de repuesto agrícola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 banco santander,,,, anticipar de honorario,,, existencia otro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 banco chile,,,, deudor vario,,, existencia servicio de tercero,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 banco itau,,,, tarjeta debitar credito,,, existencia en consignación,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 banco de itau us,,,, plástico elto segundo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 banco del scotiabank,,,, cheque en cartero,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 banco bbva,,,, cheque protestar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 banco bbva us,,,, otro documento por cobrar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 banco corpbanca,,,, cheque fecho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 banco estar,,,, valorar depositar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 caja,,,, abono bancario por,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 banco santander,,,, facturar por cobrar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 caja peso,,,, garantir por cobrar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 banco bci peso,,,, cheque por cobrar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 caja monedar extranjero,,,, cheque protestar extraviar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 caja cliente,,,, contar corriente del personal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 fondo por rendir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 banco de chile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 banco de chileus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 banco bci us,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 banco bci contar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 fondo mutuo corporate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 fondo mutuo monedar extranjero usd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 pagar efectivo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 pagar sodexo manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 pagar ch otro bco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 val cja fte efect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ticket fuerte sod,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ticket fuerte acco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 pagar transbank td,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 pagar transbank tc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 pagar tarjeta din,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 pagar edenred electro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 pagar sodexo electron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 pagar amipass tarjeta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 pagar tarjeta erbi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 pagar edenred manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 tarjeta casar com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 fondo fijo clp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 fondo rendir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 banco de chile cue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 entrar cheque banco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 salir cheque banco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 banco de credito,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 entrar cheque banco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 salir cheque banco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 transferencia banca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 banco estar contar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 entrar cheque banco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 salir cheque banco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 fondo fijo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 efectivo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 boleta sin auxiliar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 banco crédito inversión,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 banco corpbanca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 banco santander,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 banco estar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 depósito tarjeta de débito,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 depósito tarjeta abc din,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 depósito tarjeta ripley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 tarjeta de credito,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 tarjeta falabella,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 depositos plazo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 anticipo de cliente,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
